victim_name,victim_weapon,victim_parts,killer_name,killer_weapon,killer_parts,distance,log_time
Next_Gamer00,WeapACE32_C_2,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Upper_Holosight_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C']",slofe,WeapMk12_C,"['Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_ACOG_01_C']",29783.576171875,2023-06-17 15:06:11.000
kor_onestar_,WeapACE32_C_14,"['Item_Attach_Weapon_Lower_ThumbGrip_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",slofe,WeapMk12_C,"['Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_ACOG_01_C']",26915.087890625,2023-06-17 15:06:26.866
HJ_sub,WeapAUG_C_34,"['Item_Attach_Weapon_Upper_Aimpoint_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",aejskleil,WeapMk12_C,"['Item_Attach_Weapon_Muzzle_Suppressor_SniperRifle_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_Scope6x_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C']",7978.9716796875,2023-06-17 15:08:02.290
GottaGoGo,WeapM24_C_2,"['Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Magazine_Extended_SniperRifle_C', 'Item_Attach_Weapon_Muzzle_FlashHider_SniperRifle_C', 'Item_Attach_Weapon_Stock_SniperRifle_CheekPad_C']",slofe,WeapMk12_C,"['Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_ACOG_01_C']",13425.419921875,2023-06-17 15:08:24.500
RangWoo1107,WeapAK47_C_13,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",zlkills,WeapVector_C,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C', 'Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Medium_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Medium_C']",595.5719604492188,2023-06-17 15:08:24.502
miinTJ__,WeapMk12_C_10,"['Item_Attach_Weapon_Muzzle_Suppressor_SniperRifle_C', 'Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C']",,,,-1.0,2023-06-17 15:08:30.683
kaka5406,WeapACE32_C_19,"['Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_SideRail_DotSight_RMR_C']",aejskleil,WeapAUG_C,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C']",356.6905517578125,2023-06-17 15:09:12.930
Nisung,WeapBerylM762_C_18,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_AngledForeGrip_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",CHAMEMANDO,WeapHK416_C,"['Item_Attach_Weapon_Upper_Holosight_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Stock_AR_HeavyStock_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",3238.995849609375,2023-06-17 15:09:13.836
13216354,WeapQBZ95_C_18,"['Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Upper_Aimpoint_C', 'Item_Attach_Weapon_Magazine_QuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",CHAMEMANDO,ProjGrenade_C,,3392.703369140625,2023-06-17 15:09:13.838
zlkills,WeapVector_C_11,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C', 'Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Medium_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Medium_C']",,,,-1.0,2023-06-17 15:09:24.156
inraputre_s,WeapMk47Mutant_C_7,['Item_Attach_Weapon_Upper_DotSight_01_C'],Lucid_Motors,WeapM16A4_C,"['Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",16771.060546875,2023-06-17 15:09:30.632
Choi_Seung_Chan,WeapQBU88_C_0,"['Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Magazine_Extended_SniperRifle_C', 'Item_Attach_Weapon_Muzzle_Suppressor_SniperRifle_C']",CHAMEMANDO,WeapMk12_C,"['Item_Attach_Weapon_Upper_Scope6x_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_SniperRifle_C', 'Item_Attach_Weapon_Lower_Foregrip_C']",7326.2412109375,2023-06-17 15:09:38.048
aejskleil,WeapAUG_C_14,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C']",slofe,WeapVector_C,"['Item_Attach_Weapon_Upper_Holosight_C', 'Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Medium_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Muzzle_Compensator_Medium_C']",3657.697021484375,2023-06-17 15:09:40.921
6XTC_LJH,WeapM79_C_19,,,,,-1.0,2023-06-17 15:10:46.084
slofe,WeapM79_C_12,,Seung-Yun-Mo,WeapAUG_C,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C', 'Item_Attach_Weapon_Upper_Aimpoint_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",7163.5927734375,2023-06-17 15:10:46.086
Maltipoo_Pongo,WeapBerylM762_C_17,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",Lucid_Motors,WeapM16A4_C,"['Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",5339.99169921875,2023-06-17 15:10:56.237
CHAMEMANDO,WeapHK416_C_25,"['Item_Attach_Weapon_Upper_Holosight_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Stock_AR_HeavyStock_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",,,,-1.0,2023-06-17 15:11:27.000
Lucid_Motors,WeapDP12_C_2,['Item_Attach_Weapon_Upper_DotSight_01_C'],6082co4-2,WeapBerylM762_C,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_HalfGrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",3909.92626953125,2023-06-17 15:12:14.190
jotbyung,WeapHK416_C_21,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Stock_AR_Composite_C']",parkbuyoung,WeapMk12_C,"['Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C']",5215.44091796875,2023-06-17 15:12:14.192
ssangn0ma,WeapAUG_C_10,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C']",Ziatoi,WeapAUG_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_Foregrip_C']",2654.092041015625,2023-06-17 15:12:43.915
6082co4-2,WeapBerylM762_C_16,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_HalfGrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",Ziatoi,WeapAUG_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_Foregrip_C']",515.80712890625,2023-06-17 15:13:36.722
parkbuyoung,WeapAUG_C_21,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_SideRail_DotSight_RMR_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",Seung-Yun-Mo,WeapAUG_C,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",1004.9132080078125,2023-06-17 15:13:36.724
